organisation,corpus_n,rrd_n,rrd_ratio,corpus_pct,rrd_pct
new_visions_for_education,1,0,0.0,0.06045949214026602,0.0
nfer,31,18,0.5806451612903226,1.8742442563482467,7.725321888412018
ni_government,30,1,0.03333333333333333,1.8137847642079807,0.4291845493562232
northern_health_science_alliance,1,0,0.0,0.06045949214026602,0.0
nottingham_trent_university,1,0,0.0,0.06045949214026602,0.0
nspcc_learning,1,0,0.0,0.06045949214026602,0.0
nuffield,18,0,0.0,1.0882708585247884,0.0
nursery_world_magazine,2,0,0.0,0.12091898428053204,0.0
ocr_exam_board,1,0,0.0,0.06045949214026602,0.0
oecd,26,5,0.19230769230769232,1.5719467956469164,2.1459227467811157
office_for_national_statistics,1,0,0.0,0.06045949214026602,0.0
ofsted_blog,1,1,1.0,0.06045949214026602,0.4291845493562232
oii_edtech_equity,8,0,0.0,0.48367593712212814,0.0
on_think_tanks,1,0,0.0,0.06045949214026602,0.0
options_2040_project,2,0,0.0,0.12091898428053204,0.0
oriel_square,2,0,0.0,0.12091898428053204,0.0
oxford_school_of_thought,1,0,0.0,0.06045949214026602,0.0
pearson,1,0,0.0,0.06045949214026602,0.0
play_wales,1,0,0.0,0.06045949214026602,0.0
policy_manchester_blog,1,0,0.0,0.06045949214026602,0.0
politics_home,3,3,1.0,0.18137847642079807,1.2875536480686696
queen_mary_university_london,1,0,0.0,0.06045949214026602,0.0
rebecca_allen,1,0,0.0,0.06045949214026602,0.0
repec_econpapers,1,0,0.0,0.06045949214026602,0.0
repec_ideas,1,0,0.0,0.06045949214026602,0.0
research_improvement_for_policy_and_learning,2,0,0.0,0.12091898428053204,0.0
research_on_research_institute,1,0,0.0,0.06045949214026602,0.0
researchgate,3,2,0.6666666666666666,0.18137847642079807,0.8583690987124464
sage_journals,3,0,0.0,0.18137847642079807,0.0
samf_substack,1,0,0.0,0.06045949214026602,0.0
schools_week,180,64,0.35555555555555557,10.882708585247885,27.467811158798284
sciencedirect,1,0,0.0,0.06045949214026602,0.0
scottish_ai,1,0,0.0,0.06045949214026602,0.0
scottish_government,24,0,0.0,1.4510278113663846,0.0
scottish_parliament,1,0,0.0,0.06045949214026602,0.0
shadow_panel_project,1,0,0.0,0.06045949214026602,0.0
sky_news,1,0,0.0,0.06045949214026602,0.0
society_for_research_into_higher_education,2,0,0.0,0.12091898428053204,0.0
staff_college,1,0,0.0,0.06045949214026602,0.0
sustainable_school_leadership,3,0,0.0,0.18137847642079807,0.0
sutton_trust,3,0,0.0,0.18137847642079807,0.0
taylor_and_francis,8,0,0.0,0.48367593712212814,0.0
teach_first,1,1,1.0,0.06045949214026602,0.4291845493562232
teacher_success,1,0,0.0,0.06045949214026602,0.0
teacher_tapp,12,6,0.5,0.7255139056831923,2.575107296137339
teaching_commission,2,2,1.0,0.12091898428053204,0.8583690987124464
tech_uk,1,0,0.0,0.06045949214026602,0.0
techbullion,2,0,0.0,0.12091898428053204,0.0
tes,25,8,0.32,1.5114873035066507,3.4334763948497855
the_difference,2,0,0.0,0.12091898428053204,0.0
the_times,1,0,0.0,0.06045949214026602,0.0
times_literary_supplement,1,0,0.0,0.06045949214026602,0.0
tony_blair_institute,3,0,0.0,0.18137847642079807,0.0
tpea_association,1,0,0.0,0.06045949214026602,0.0
transforming_evidence,2,0,0.0,0.12091898428053204,0.0
transforming_society,3,0,0.0,0.18137847642079807,0.0
twinkl,1,0,0.0,0.06045949214026602,0.0
twitter,2,0,0.0,0.12091898428053204,0.0
ucl,86,7,0.08139534883720931,5.199516324062878,3.004291845493562
uk_civil_service_jobs,1,0,0.0,0.06045949214026602,0.0
uk_government,116,18,0.15517241379310345,7.013301088270858,7.725321888412018
uk_parliament,58,6,0.10344827586206896,3.506650544135429,2.575107296137339
ukri,22,0,0.0,1.3301088270858523,0.0
unesco,2,0,0.0,0.12091898428053204,0.0
unicef,2,0,0.0,0.12091898428053204,0.0
universitas_21,1,0,0.0,0.06045949214026602,0.0
university_of_birmingham,15,0,0.0,0.9068923821039904,0.0
university_of_bristol,1,0,0.0,0.06045949214026602,0.0
university_of_dundee_surveys,1,0,0.0,0.06045949214026602,0.0
university_of_east_anglia,1,0,0.0,0.06045949214026602,0.0
university_of_nottingham,1,0,0.0,0.06045949214026602,0.0
upen,17,0,0.0,1.0278113663845223,0.0
upp_foundation,1,0,0.0,0.06045949214026602,0.0
uwe_bristol_blog,2,0,0.0,0.12091898428053204,0.0
wales_centre_for_public_policy,4,0,0.0,0.24183796856106407,0.0
welsh_government,32,0,0.0,1.9347037484885126,0.0
welsh_parliament,9,0,0.0,0.5441354292623942,0.0
wiley,3,0,0.0,0.18137847642079807,0.0
wired_gov,1,0,0.0,0.06045949214026602,0.0
wonkhe,11,2,0.18181818181818182,0.6650544135429262,0.8583690987124464
working_lives_of_teachers,1,1,1.0,0.06045949214026602,0.4291845493562232
yorkshire_post,1,0,0.0,0.06045949214026602,0.0
youth_endowment_fund,1,0,0.0,0.06045949214026602,0.0
youtube,6,0,0.0,0.36275695284159615,0.0
