organisation,ai_tools,phones_safety,equity_access,governance_regulation,learning_outcomes,teacher_development
unicef,0.0,0.0,0.0,0.0,0.0,0.0
universitas_21,0.0,0.0,0.0,0.0,0.0,0.0
university_of_birmingham,0.0,0.0,0.0,0.0,0.0,0.0
university_of_bristol,0.0,0.0,0.0,0.0,0.0,0.0
university_of_dundee_surveys,0.0,0.0,0.0,0.0,0.0,0.0
university_of_east_anglia,0.0,0.0,0.0,0.0,0.0,0.0
university_of_nottingham,0.0,0.0,0.0,0.0,0.0,0.0
upen,0.0,0.0,0.0,0.0,0.0,0.0
upp_foundation,0.0,0.0,0.0,0.0,0.0,0.0
uwe_bristol_blog,0.0,0.0,0.0,0.0,0.0,0.0
wales_centre_for_public_policy,0.0,0.0,0.0,0.0,0.0,0.0
welsh_government,0.0,0.0,0.0,0.0,0.0,0.0
welsh_parliament,0.0,0.0,0.0,0.0,0.0,0.0
wiley,0.0,0.0,0.0,0.0,0.0,0.0
wired_gov,0.0,0.0,0.0,0.0,0.0,0.0
wonkhe,0.0,0.0,0.0,0.0,0.0,0.0
working_lives_of_teachers,0.0,0.0,0.0,0.0,0.0,0.0
yorkshire_post,0.0,0.0,0.0,0.0,0.0,0.0
youth_endowment_fund,0.0,0.0,0.0,0.0,0.0,0.0
youtube,0.0,0.0,0.0,0.0,0.0,0.0
